GEOID,state,county,tract,DPOV70,NPOV70,percent_poverty
48113000100,TX,Dallas County,Census Tract 1,3783.051378,225.0063733,0.059477483
48113000201,TX,Dallas County,Census Tract 2.01,3126.000029,300,0.095969289
48113000202,TX,Dallas County,Census Tract 2.02,3921.999975,239,0.060938297
48113000300,TX,Dallas County,Census Tract 3,3626.385515,282.3444805,0.077858374
48113000401,TX,Dallas County,Census Tract 4.01,2888.801953,608.116272,0.210508121
48113000404,TX,Dallas County,Census Tract 4.04,3836.126648,779.8607178,0.203293788
48113000405,TX,Dallas County,Census Tract 4.05,1796.274238,365.1713867,0.203293784
48113000406,TX,Dallas County,Census Tract 4.06,6362.528237,850.4242887,0.133661378
48113000500,TX,Dallas County,Census Tract 5,4600.797006,642.8515963,0.139726138
48113000601,TX,Dallas County,Census Tract 6.01,5692.735231,373.7503967,0.065653922
48113000603,TX,Dallas County,Census Tract 6.03,3058.061287,228.8618181,0.074838859
48113000605,TX,Dallas County,Census Tract 6.05,1384.162251,103.7290286,0.074939935
48113000606,TX,Dallas County,Census Tract 6.06,3491.567444,261.6410957,0.07493514
48113000701,TX,Dallas County,Census Tract 7.01,3363.000022,480,0.142729705
48113000702,TX,Dallas County,Census Tract 7.02,2742.000012,315,0.114879649
48113000800,TX,Dallas County,Census Tract 8,4786.999989,844,0.176310842
48113000900,TX,Dallas County,Census Tract 9,3123.000026,208,0.066602625
48113001001,TX,Dallas County,Census Tract 10.01,2138.141511,308.7585144,0.144405089
48113001002,TX,Dallas County,Census Tract 10.02,2658.473318,383.8970642,0.144405085
48113001101,TX,Dallas County,Census Tract 11.01,4163.999989,637,0.152977906
48113001102,TX,Dallas County,Census Tract 11.02,2265.000006,286,0.126269315
48113001202,TX,Dallas County,Census Tract 12.02,3917.846227,485.9485893,0.124034625
48113001203,TX,Dallas County,Census Tract 12.03,596.4547058,72.85224152,0.122142119
48113001204,TX,Dallas County,Census Tract 12.04,707.1580263,86.3737793,0.122142118
48113001301,TX,Dallas County,Census Tract 13.01,1930.27531,295.1237897,0.152892071
48113001302,TX,Dallas County,Census Tract 13.02,3658.951693,798.3167114,0.218181812
48113001400,TX,Dallas County,Census Tract 14,3825.724651,437.8761827,0.11445575
48113001502,TX,Dallas County,Census Tract 15.02,3920.000038,858,0.218877549
48113001503,TX,Dallas County,Census Tract 15.03,3463.12837,563.5297852,0.162722754
48113001504,TX,Dallas County,Census Tract 15.04,3382.871425,550.4701538,0.162722754
48113001600,TX,Dallas County,Census Tract 16,6007.000108,2594,0.431829524
48113001701,TX,Dallas County,Census Tract 17.01,413.6814063,117.0267826,0.282891087
48113001703,TX,Dallas County,Census Tract 17.03,1864.65761,632.015686,0.338944631
48113001704,TX,Dallas County,Census Tract 17.04,1066.414786,361.4555664,0.338944631
48113001800,TX,Dallas County,Census Tract 18,2495.493922,366.2937927,0.146782082
48113001900,TX,Dallas County,Census Tract 19,1679.87334,590.261137,0.351372406
48113002000,TX,Dallas County,Census Tract 20,6305.99995,913,0.144782748
48113002100,TX,Dallas County,Census Tract 21,312.721907,70.51769477,0.225496498
48113002200,TX,Dallas County,Census Tract 22,3964.99999,1200,0.302648172
48113002400,TX,Dallas County,Census Tract 24,4210.162578,1091.281496,0.259201747
48113002500,TX,Dallas County,Census Tract 25,8409.29013,2627.472749,0.312448817
48113002701,TX,Dallas County,Census Tract 27.01,7310.999965,3161,0.432362196
48113002702,TX,Dallas County,Census Tract 27.02,4904.362103,1333.333585,0.271866872
48113003101,TX,Dallas County,Census Tract 31.01,2449.684798,24.62707458,0.010053161
48113003400,TX,Dallas County,Census Tract 34,7593.89643,2325.013404,0.306168701
48113003700,TX,Dallas County,Census Tract 37,5971.554467,1486.761303,0.248973916
48113003800,TX,Dallas County,Census Tract 38,4418.606908,1303.866089,0.295085333
48113003901,TX,Dallas County,Census Tract 39.01,4582.999967,1184,0.258346063
48113003902,TX,Dallas County,Census Tract 39.02,4160.231647,1411.720359,0.33933696
48113004000,TX,Dallas County,Census Tract 40,3509.002533,956.0852662,0.272466394
48113004100,TX,Dallas County,Census Tract 41,3585.000056,1673,0.466666659
48113004201,TX,Dallas County,Census Tract 42.01,4637.999943,537,0.115782666
48113004202,TX,Dallas County,Census Tract 42.02,2644.221273,232.8602295,0.088063821
48113004300,TX,Dallas County,Census Tract 43,3784.999997,1051,0.277675033
48113004400,TX,Dallas County,Census Tract 44,3873.778963,341.139801,0.088063827
48113004500,TX,Dallas County,Census Tract 45,4904.987006,358.605011,0.073110288
48113004600,TX,Dallas County,Census Tract 46,2814.999982,451,0.160213145
48113004700,TX,Dallas County,Census Tract 47,3134.000011,568,0.181238034
48113004800,TX,Dallas County,Census Tract 48,3877.553535,664.0707073,0.171260229
48113004900,TX,Dallas County,Census Tract 49,7715.999963,2373,0.30754277
48113005000,TX,Dallas County,Census Tract 50,2875.446651,541.9293213,0.188467875
48113005100,TX,Dallas County,Census Tract 51,2335.722829,228.9420013,0.098017624
48113005200,TX,Dallas County,Census Tract 52,3819.999983,397,0.103926702
48113005300,TX,Dallas County,Census Tract 53,5388.000008,663,0.123051225
48113005400,TX,Dallas County,Census Tract 54,6578.350783,1034.258616,0.157221567
48113005500,TX,Dallas County,Census Tract 55,3778.002162,913.0004538,0.241662237
48113005600,TX,Dallas County,Census Tract 56,6454.010778,1257.671448,0.194866648
48113005700,TX,Dallas County,Census Tract 57,7427.000008,1880,0.25313047
48113005901,TX,Dallas County,Census Tract 59.01,8261.000067,1351,0.163539522
48113005902,TX,Dallas County,Census Tract 59.02,4326.000024,541,0.125057789
48113006001,TX,Dallas County,Census Tract 60.01,2855.352171,293.4650269,0.102777174
48113006002,TX,Dallas County,Census Tract 60.02,2680.000062,106,0.039552238
48113006100,TX,Dallas County,Census Tract 61,4662.999958,90,0.019300879
48113006200,TX,Dallas County,Census Tract 62,5444.286103,558.6049652,0.102603896
48113006301,TX,Dallas County,Census Tract 63.01,4570.000006,206,0.045076586
48113006302,TX,Dallas County,Census Tract 63.02,3556.277068,196.057991,0.055130123
48113006401,TX,Dallas County,Census Tract 64.01,1781.891124,104.8171234,0.058823529
48113006402,TX,Dallas County,Census Tract 64.02,4185.108921,246.1828766,0.058823529
48113006501,TX,Dallas County,Census Tract 65.01,2857.469978,169.9261333,0.059467338
48113006502,TX,Dallas County,Census Tract 65.02,3420.106846,203.2120209,0.059416863
48113006700,TX,Dallas County,Census Tract 67,5566.110418,445.7901159,0.08009006
48113006800,TX,Dallas County,Census Tract 68,4476.817992,253.0147427,0.056516647
48113006900,TX,Dallas County,Census Tract 69,1761.936786,166.9517059,0.094754651
48113007101,TX,Dallas County,Census Tract 71.01,2240.267127,73.90769958,0.032990575
48113007102,TX,Dallas County,Census Tract 71.02,7829.000076,1106,0.141269637
48113007201,TX,Dallas County,Census Tract 72.01,2888.283822,387.2693787,0.134082868
48113007202,TX,Dallas County,Census Tract 72.02,1914.716336,256.7306519,0.134082865
48113007301,TX,Dallas County,Census Tract 73.01,2474.431891,105.4847081,0.042629869
48113007302,TX,Dallas County,Census Tract 73.02,4049.806834,230.0343757,0.05680132
48113007601,TX,Dallas County,Census Tract 76.01,2251.00006,48,0.021323855
48113007604,TX,Dallas County,Census Tract 76.04,3693.000019,183,0.049553209
48113007605,TX,Dallas County,Census Tract 76.05,1597,52,0.032561052
48113007700,TX,Dallas County,Census Tract 77,5878.000052,221,0.037597822
48113007801,TX,Dallas County,Census Tract 78.01,560.4796146,27.01106644,0.048192772
48113007804,TX,Dallas County,Census Tract 78.04,2644.311622,61.59534836,0.023293529
48113007805,TX,Dallas County,Census Tract 78.05,2395.850947,55.80781937,0.023293527
48113007809,TX,Dallas County,Census Tract 78.09,880.752243,57.36700439,0.0651341
48113007810,TX,Dallas County,Census Tract 78.10,960.2274773,62.5435524,0.0651341
48113007811,TX,Dallas County,Census Tract 78.11,443.5267424,28.88871574,0.065134101
48113007812,TX,Dallas County,Census Tract 78.12,1173.487656,76.43405914,0.065134097
48113007815,TX,Dallas County,Census Tract 78.15,547.0680903,35.6327858,0.065134097
48113007818,TX,Dallas County,Census Tract 78.18,152.268837,9.91789341,0.065134098
48113007819,TX,Dallas County,Census Tract 78.19,297.392272,19.37037849,0.065134102
48113007820,TX,Dallas County,Census Tract 78.20,503.5200611,32.79632568,0.065134099
48113007821,TX,Dallas County,Census Tract 78.21,346.0867349,22.5420475,0.065134099
48113007822,TX,Dallas County,Census Tract 78.22,396.6899864,10.56319976,0.02662835
48113007823,TX,Dallas County,Census Tract 78.23,1615.667631,43.02256107,0.026628349
48113007824,TX,Dallas County,Census Tract 78.24,317.0451977,20.65045357,0.0651341
48113007825,TX,Dallas County,Census Tract 78.25,958.2582626,62.41529083,0.065134101
48113007826,TX,Dallas County,Census Tract 78.26,207.6470773,13.5249052,0.065134099
48113007827,TX,Dallas County,Census Tract 78.27,259.7193363,16.91658592,0.065134103
48113007902,TX,Dallas County,Census Tract 79.02,5901.999962,122,0.020670959
