GEOID,county,percent_poverty
48085030100,Collin County,0.067714408
48085030201,Collin County,0.080552958
48085030202,Collin County,0.080552957
48085030203,Collin County,0.080552957
48085030403,Collin County,0.114095821
48085030404,Collin County,0.114095821
48085030405,Collin County,0.114095822
48085030406,Collin County,0.11409582
48085030407,Collin County,0.114095818
48085030408,Collin County,0.11409582
48085030504,Collin County,0.114095816
48085030505,Collin County,0.114095821
48085030506,Collin County,0.114095862
48085030509,Collin County,0.114095815
48085030511,Collin County,0.114095818
48085030518,Collin County,0.114095816
48085030519,Collin County,0.114095899
48085030801,Collin County,0.149447085
48085030802,Collin County,0.148897528
48085030900,Collin County,0.296880367
48085031001,Collin County,0.067714394
48085031003,Collin County,0.067714396
48085031004,Collin County,0.067714394
48085031100,Collin County,0.123102798
48085031201,Collin County,0.095460866
48085031202,Collin County,0.095286361
48085031312,Collin County,0.045544545
48085031313,Collin County,0.045544545
48085031314,Collin County,0.045544557
48085031315,Collin County,0.045544553
48085031316,Collin County,0.045544555
48085031317,Collin County,0.045544556
48085031405,Collin County,0.079401613
48085031406,Collin County,0.079401607
48085031407,Collin County,0.079401611
48085031408,Collin County,0.045414848
48085031409,Collin County,0.045414845
48085031410,Collin County,0.045308383
48085031411,Collin County,0.045414848
48085031504,Collin County,0.032609999
48085031505,Collin County,0.032567656
48085031506,Collin County,0.03325823
48085031507,Collin County,0.032625611
48085031508,Collin County,0.03262561
48085031611,Collin County,0.022705263
48085031612,Collin County,0.019197849
48085031613,Collin County,0.019197931
48085031621,Collin County,0.021857924
48085031622,Collin County,0.066364604
48085031623,Collin County,0.066364608
48085031624,Collin County,0.017240041
48085031625,Collin County,0.01724004
48085031626,Collin County,0.017240041
48085031627,Collin County,0.01724004
48085031628,Collin County,0.022705261
48085031629,Collin County,0.022705262
48085031630,Collin County,0.014161074
48085031631,Collin County,0.014160295
48085031632,Collin County,0.015574756
48085031633,Collin County,0.014160295
48085031634,Collin County,0.014160295
48085031635,Collin County,0.014160295
48085031636,Collin County,0.023508138
48085031637,Collin County,0.023508138
48085031638,Collin County,0.023508137
48085031639,Collin County,0.023388947
48085031640,Collin County,0.025352224
48085031641,Collin County,0.024862152
48085031642,Collin County,0.023508138
48085031643,Collin County,0.023508138
48085031645,Collin County,0.021857924
48085031646,Collin County,0.021857924
48085031647,Collin County,0.021857923
48085031648,Collin County,0.021857924
48085031649,Collin County,0.021857923
48085031652,Collin County,0.021857923
48085031653,Collin County,0.021857923
48085031654,Collin County,0.021857923
48085031655,Collin County,0.021857924
48085031656,Collin County,0.021857924
48085031658,Collin County,0.021857923
48085031659,Collin County,0.021857923
48085031660,Collin County,0.021857923
48085031661,Collin County,0.021857925
48085031662,Collin County,0.021857924
48085031663,Collin County,0.021857924
48085031664,Collin County,0.021857923
48085031704,Collin County,0.038661711
48085031706,Collin County,0.038661709
48085031708,Collin County,0.038661711
48085031709,Collin County,0.038661711
48085031711,Collin County,0.03866171
48085031712,Collin County,0.038661708
48085031713,Collin County,0.03866171
48085031714,Collin County,0.03866171
48085031715,Collin County,0.038661709
48085031716,Collin County,0.03866171
48085031717,Collin County,0.038661708
48085031718,Collin County,0.038661709
48085031719,Collin County,0.038661711
48085031720,Collin County,0.03866171
48085031802,Collin County,0.052371753
48085031806,Collin County,0.025841982
48085031807,Collin County,0.025841982
48085031900,Collin County,0.217326445
48085032003,Collin County,0.056158634
48085032004,Collin County,0.055835822
48085032008,Collin County,0.056158633
48085032009,Collin County,0.038547251
48085032010,Collin County,0.039210806
48085032011,Collin County,0.039210805
48085032012,Collin County,0.056067254
48085032013,Collin County,0.05606725
48113000100,Dallas County,0.035359881
48113000201,Dallas County,0.063925362
48113000202,Dallas County,0.060836502
48113000300,Dallas County,0.050817955
48113000401,Dallas County,0.164717675
48113000404,Dallas County,0.207676375
48113000405,Dallas County,0.207676379
48113000406,Dallas County,0.196820973
48113000500,Dallas County,0.114496833
48113000601,Dallas County,0.099705784
48113000603,Dallas County,0.068520893
48113000605,Dallas County,0.099766631
48113000606,Dallas County,0.099735921
48113000701,Dallas County,0.145155768
48113000702,Dallas County,0.080872914
48113000800,Dallas County,0.226964909
48113000900,Dallas County,0.164343785
48113001001,Dallas County,0.189453945
48113001002,Dallas County,0.189453936
48113001101,Dallas County,0.137017847
48113001102,Dallas County,0.075596144
48113001202,Dallas County,0.154759504
48113001203,Dallas County,0.154759511
48113001204,Dallas County,0.154759509
48113001301,Dallas County,0.279936063
48113001302,Dallas County,0.252288635
48113001400,Dallas County,0.16060103
48113001502,Dallas County,0.312466981
48113001503,Dallas County,0.256033246
48113001504,Dallas County,0.256033236
48113001600,Dallas County,0.56812651
48113001701,Dallas County,0.220125523
48113001703,Dallas County,0.309029714
48113001704,Dallas County,0.309029718
48113001800,Dallas County,0.237184396
48113001900,Dallas County,0.423125349
48113002000,Dallas County,0.213347348
48113002100,Dallas County,0.396010224
48113002200,Dallas County,0.513991771
48113002400,Dallas County,0.259468688
48113002500,Dallas County,0.287392607
48113002701,Dallas County,0.494736844
