GEOID,state,county,tract,POP00SF3,PROF00,HINC00,prof_number
48113000100,TX,Dallas County,Census Tract 1,3874.050152,1551.013627,65900.54866,0.400359718
48113000201,TX,Dallas County,Census Tract 2.01,2529,936,61994,0.370106762
48113000202,TX,Dallas County,Census Tract 2.02,3321,1461,62025,0.439927733
48113000300,TX,Dallas County,Census Tract 3,3669,1735,69591,0.472880894
48113000401,TX,Dallas County,Census Tract 4.01,4075.078163,115.8316727,29602.00011,0.028424405
48113000404,TX,Dallas County,Census Tract 4.04,4835,851,37672,0.176008273
48113000405,TX,Dallas County,Census Tract 4.05,2955.736525,218.8324127,25182.00111,0.074036509
48113000406,TX,Dallas County,Census Tract 4.06,6280.456615,244.3738701,31960.9947,0.038910208
48113000500,TX,Dallas County,Census Tract 5,5839.185437,802.3359086,31031.16856,0.137405451
48113000601,TX,Dallas County,Census Tract 6.01,9546.611342,1093.955444,33579.00083,0.114590969
48113000603,TX,Dallas County,Census Tract 6.03,4007.206406,1594.173019,46312.76349,0.39782653
48113000605,TX,Dallas County,Census Tract 6.05,1097.000042,442.5993958,54069.00204,0.403463426
48113000606,TX,Dallas County,Census Tract 6.06,2767.264632,1116.301498,54110.96731,0.403395283
48113000701,TX,Dallas County,Census Tract 7.01,2695,1189,59444,0.441187384
48113000702,TX,Dallas County,Census Tract 7.02,3086,1101,39922,0.356772521
48113000800,TX,Dallas County,Census Tract 8,6444,507,32465,0.07867784
48113000900,TX,Dallas County,Census Tract 9,6780,256,25489,0.037758112
48113001001,TX,Dallas County,Census Tract 10.01,1634,435,49094,0.26621787
48113001002,TX,Dallas County,Census Tract 10.02,2643,414,42669,0.156640182
48113001101,TX,Dallas County,Census Tract 11.01,3810,1055,42781,0.276902887
48113001102,TX,Dallas County,Census Tract 11.02,2116,733,50020,0.346408318
48113001202,TX,Dallas County,Census Tract 12.02,3823.949856,1038.986328,32374.99947,0.271705008
48113001203,TX,Dallas County,Census Tract 12.03,1388,299,62308,0.215417867
48113001204,TX,Dallas County,Census Tract 12.04,3218.552373,126.982338,32120.99862,0.039453246
48113001301,TX,Dallas County,Census Tract 13.01,2781.742508,748.7742378,40174.99979,0.269174532
