Year,GEOID,state,county,tract,dpov0a,npov0a,percent_poverty
2010,48113000100,TX,Dallas County,Census Tract 1,3926,328,0.083545593
2010,48113000201,TX,Dallas County,Census Tract 2.01,3177,144,0.045325779
2010,48113000202,TX,Dallas County,Census Tract 2.02,3380,156,0.046153846
2010,48113000300,TX,Dallas County,Census Tract 3,3852,294,0.076323988
2010,48113000401,TX,Dallas County,Census Tract 4.01,3213,956,0.297541239
2010,48113000404,TX,Dallas County,Census Tract 4.04,3982,994,0.249623305
2010,48113000405,TX,Dallas County,Census Tract 4.05,2703,1285,0.475397706
2010,48113000406,TX,Dallas County,Census Tract 4.06,7599,2601,0.342281879
2010,48113000500,TX,Dallas County,Census Tract 5,4632,1515,0.327072539
2010,48113000601,TX,Dallas County,Census Tract 6.01,6747,1727,0.255965614
2010,48113000603,TX,Dallas County,Census Tract 6.03,3614,210,0.05810736
2010,48113000605,TX,Dallas County,Census Tract 6.05,2182,176,0.080659945
2010,48113000606,TX,Dallas County,Census Tract 6.06,3073,172,0.055971363
2010,48113000701,TX,Dallas County,Census Tract 7.01,3943,372,0.094344408
2010,48113000702,TX,Dallas County,Census Tract 7.02,3033,615,0.202769535
2010,48113000800,TX,Dallas County,Census Tract 8,6078,1796,0.295491938
2010,48113000900,TX,Dallas County,Census Tract 9,5077,1951,0.384282056
2010,48113001001,TX,Dallas County,Census Tract 10.01,1566,31,0.019795658
2010,48113001002,TX,Dallas County,Census Tract 10.02,2265,182,0.080353201
2010,48113001101,TX,Dallas County,Census Tract 11.01,3632,456,0.125550661
2010,48113001102,TX,Dallas County,Census Tract 11.02,2238,53,0.023681859
2010,48113001202,TX,Dallas County,Census Tract 12.02,3013,455,0.15101228
2010,48113001203,TX,Dallas County,Census Tract 12.03,1734,345,0.198961938
2010,48113001204,TX,Dallas County,Census Tract 12.04,3039,1378,0.453438631
2010,48113001301,TX,Dallas County,Census Tract 13.01,2189,378,0.17268159
2010,48113001302,TX,Dallas County,Census Tract 13.02,2468,346,0.140194489
2010,48113001400,TX,Dallas County,Census Tract 14,3544,1023,0.288656885
2010,48113001502,TX,Dallas County,Census Tract 15.02,3366,776,0.230540701
2010,48113001503,TX,Dallas County,Census Tract 15.03,3305,1251,0.378517398
2010,48113001504,TX,Dallas County,Census Tract 15.04,2401,755,0.314452312
2010,48113001600,TX,Dallas County,Census Tract 16,4353,2017,0.463358603
2010,48113001701,TX,Dallas County,Census Tract 17.01,24,0,0
2010,48113001703,TX,Dallas County,Census Tract 17.03,2565,21,0.008187135
2010,48113001704,TX,Dallas County,Census Tract 17.04,1015,30,0.02955665
2010,48113001800,TX,Dallas County,Census Tract 18,3272,148,0.045232274
2010,48113001900,TX,Dallas County,Census Tract 19,3463,477,0.137741842
2010,48113002000,TX,Dallas County,Census Tract 20,6644,2179,0.327965081
2010,48113002100,TX,Dallas County,Census Tract 21,856,39,0.045560748
2010,48113002200,TX,Dallas County,Census Tract 22,2093,413,0.197324415
2010,48113002400,TX,Dallas County,Census Tract 24,3230,1210,0.374613003
2010,48113002500,TX,Dallas County,Census Tract 25,5011,1301,0.259628817
2010,48113002701,TX,Dallas County,Census Tract 27.01,2165,1540,0.711316397
2010,48113002702,TX,Dallas County,Census Tract 27.02,1561,559,0.35810378
2010,48113003101,TX,Dallas County,Census Tract 31.01,2066,95,0.045982575
2010,48113003400,TX,Dallas County,Census Tract 34,1140,516,0.452631579
2010,48113003700,TX,Dallas County,Census Tract 37,3496,1186,0.339244851
2010,48113003800,TX,Dallas County,Census Tract 38,1739,607,0.349051179
2010,48113003901,TX,Dallas County,Census Tract 39.01,1798,849,0.472191324
2010,48113003902,TX,Dallas County,Census Tract 39.02,1789,686,0.383454444
2010,48113004000,TX,Dallas County,Census Tract 40,795,215,0.270440252
2010,48113004100,TX,Dallas County,Census Tract 41,1173,794,0.676896846
2010,48113004201,TX,Dallas County,Census Tract 42.01,3548,691,0.19475761
2010,48113004202,TX,Dallas County,Census Tract 42.02,2097,371,0.176919409
2010,48113004300,TX,Dallas County,Census Tract 43,2456,853,0.347312704
2010,48113004400,TX,Dallas County,Census Tract 44,3507,204,0.058169376
2010,48113004500,TX,Dallas County,Census Tract 45,6017,859,0.142762174
2010,48113004600,TX,Dallas County,Census Tract 46,1177,106,0.090059473
2010,48113004700,TX,Dallas County,Census Tract 47,3605,1374,0.381137309
2010,48113004800,TX,Dallas County,Census Tract 48,2815,707,0.251154529
2010,48113004900,TX,Dallas County,Census Tract 49,3804,1644,0.432176656
2010,48113005000,TX,Dallas County,Census Tract 50,3933,982,0.249682176
2010,48113005100,TX,Dallas County,Census Tract 51,2918,828,0.283755997
2010,48113005200,TX,Dallas County,Census Tract 52,5703,1119,0.19621252
2010,48113005300,TX,Dallas County,Census Tract 53,6780,1390,0.205014749
2010,48113005400,TX,Dallas County,Census Tract 54,4899,1942,0.39640743
2010,48113005500,TX,Dallas County,Census Tract 55,3747,1270,0.338937817
2010,48113005600,TX,Dallas County,Census Tract 56,6688,2347,0.350927033
2010,48113005700,TX,Dallas County,Census Tract 57,4204,1728,0.411037108
2010,48113005901,TX,Dallas County,Census Tract 59.01,5588,1699,0.304044381
2010,48113005902,TX,Dallas County,Census Tract 59.02,3254,724,0.22249539
2010,48113006001,TX,Dallas County,Census Tract 60.01,4313,2008,0.465569209
2010,48113006002,TX,Dallas County,Census Tract 60.02,3818,1318,0.345206915
2010,48113006100,TX,Dallas County,Census Tract 61,4354,1230,0.282498852
2010,48113006200,TX,Dallas County,Census Tract 62,5963,1437,0.240986081
2010,48113006301,TX,Dallas County,Census Tract 63.01,5999,1407,0.23453909
2010,48113006302,TX,Dallas County,Census Tract 63.02,4303,691,0.160585638
2010,48113006401,TX,Dallas County,Census Tract 64.01,3118,667,0.213919179
2010,48113006402,TX,Dallas County,Census Tract 64.02,5886,1339,0.227488957
2010,48113006501,TX,Dallas County,Census Tract 65.01,6561,1080,0.164609053
2010,48113006502,TX,Dallas County,Census Tract 65.02,3717,717,0.192897498
2010,48113006700,TX,Dallas County,Census Tract 67,7111,1543,0.216987765
2010,48113006800,TX,Dallas County,Census Tract 68,5151,1017,0.197437391
2010,48113006900,TX,Dallas County,Census Tract 69,3772,1080,0.286320255
2010,48113007101,TX,Dallas County,Census Tract 71.01,1800,34,0.018888889
2010,48113007102,TX,Dallas County,Census Tract 71.02,6198,1313,0.21184253
2010,48113007201,TX,Dallas County,Census Tract 72.01,9414,3024,0.321223709
2010,48113007202,TX,Dallas County,Census Tract 72.02,8204,2789,0.339956119
2010,48113007301,TX,Dallas County,Census Tract 73.01,1962,41,0.020897044
2010,48113007302,TX,Dallas County,Census Tract 73.02,3728,287,0.076984979
2010,48113007601,TX,Dallas County,Census Tract 76.01,1906,28,0.014690451
2010,48113007604,TX,Dallas County,Census Tract 76.04,3293,136,0.041299727
2010,48113007605,TX,Dallas County,Census Tract 76.05,1801,57,0.031649084
2010,48113007700,TX,Dallas County,Census Tract 77,4688,271,0.057807167
2010,48113007801,TX,Dallas County,Census Tract 78.01,2334,64,0.027420737
