Id,GEOID,Geography,county,state,medianIncome2000,medianIncome2013,prof00,prof13
1400000US48085030100,48085030100,Census Tract 301, Collin County, Texas,47856.97224,52045,0.141904526,0.3
1400000US48085030201,48085030201,Census Tract 302.01, Collin County, Texas,53910.99841,90266,0.160761311,0.36
1400000US48085030202,48085030202,Census Tract 302.02, Collin County, Texas,53911.00226,89643,0.160761311,0.45
1400000US48085030203,48085030203,Census Tract 302.03, Collin County, Texas,53910.99874,70880,0.160761316,0.33
1400000US48085030301,48085030301,Census Tract 303.01, Collin County, Texas,61911.99793,91750,0.20592105,0.41
1400000US48085030302,48085030302,Census Tract 303.02, Collin County, Texas,61912.00181,151667,0.205921062,0.78
1400000US48085030303,48085030303,Census Tract 303.03, Collin County, Texas,61912.00241,118785,0.205921059,0.55
1400000US48085030304,48085030304,Census Tract 303.04, Collin County, Texas,61911.99839,89517,0.205921041,0.58
1400000US48085030305,48085030305,Census Tract 303.05, Collin County, Texas,61912.00003,89817,0.205921048,0.45
1400000US48085030403,48085030403,Census Tract 304.03, Collin County, Texas,73490.79849,74875,0.291772524,0.46
1400000US48085030404,48085030404,Census Tract 304.04, Collin County, Texas,73347.00176,98140,0.291808183,0.63
1400000US48085030405,48085030405,Census Tract 304.05, Collin County, Texas,73366.19755,63074,0.291871767,0.43
1400000US48085030406,48085030406,Census Tract 304.06, Collin County, Texas,55596.05329,55589,0.225876488,0.35
1400000US48085030407,48085030407,Census Tract 304.07, Collin County, Texas,55593.05848,164167,0.225866178,0.6
1400000US48085030408,48085030408,Census Tract 304.08, Collin County, Texas,55729.45364,57051,0.226049718,0.37
1400000US48085030504,48085030504,Census Tract 305.04, Collin County, Texas,70452.17633,75129,0.277414072,0.4
1400000US48085030505,48085030505,Census Tract 305.05, Collin County, Texas,82733.38758,85009,0.320651551,0.6
1400000US48085030506,48085030506,Census Tract 305.06, Collin County, Texas,87219.88169,112450,0.336592112,0.57
1400000US48085030507,48085030507,Census Tract 305.07, Collin County, Texas,87220.00175,146143,0.336592469,0.67
1400000US48085030508,48085030508,Census Tract 305.08, Collin County, Texas,87219.99132,95988,0.336592462,0.54
1400000US48085030509,48085030509,Census Tract 305.09, Collin County, Texas,87195.19778,104808,0.336514416,0.58
1400000US48085030510,48085030510,Census Tract 305.10, Collin County, Texas,79153.31499,94274,0.337744611,0.62
1400000US48085030511,48085030511,Census Tract 305.11, Collin County, Texas,78949.74215,104167,0.336301158,0.54
1400000US48085030512,48085030512,Census Tract 305.12, Collin County, Texas,79151.99795,147333,0.337744791,0.62
1400000US48085030513,48085030513,Census Tract 305.13, Collin County, Texas,79152.00369,76767,0.337744777,0.53
1400000US48085030514,48085030514,Census Tract 305.14, Collin County, Texas,79168.05281,83807,0.337709477,0.42
1400000US48085030515,48085030515,Census Tract 305.15, Collin County, Texas,79152.00163,85208,0.337744792,0.56
1400000US48085030516,48085030516,Census Tract 305.16, Collin County, Texas,79152.00252,84653,0.337744791,0.57
1400000US48085030517,48085030517,Census Tract 305.17, Collin County, Texas,86721.99789,103321,0.320667487,0.57
1400000US48085030518,48085030518,Census Tract 305.18, Collin County, Texas,98134.36338,134911,0.286159616,0.59
1400000US48085030519,48085030519,Census Tract 305.19, Collin County, Texas,102258.0263,104750,0.285285793,0.61
1400000US48085030520,48085030520,Census Tract 305.20, Collin County, Texas,102273.9961,87917,0.28530501,0.5
1400000US48085030521,48085030521,Census Tract 305.21, Collin County, Texas,102273.9983,131417,0.28530503,0.42
1400000US48085030522,48085030522,Census Tract 305.22, Collin County, Texas,102273.9959,98958,0.285305007,0.6
1400000US48085030523,48085030523,Census Tract 305.23, Collin County, Texas,102273.9985,102008,0.285305033,0.55
1400000US48085030524,48085030524,Census Tract 305.24, Collin County, Texas,102273.997,96406,0.285305017,0.56
1400000US48085030525,48085030525,Census Tract 305.25, Collin County, Texas,102274.0001,121645,0.285305029,0.64
1400000US48085030526,48085030526,Census Tract 305.26, Collin County, Texas,102273.997,94417,0.285305008,0.62
1400000US48085030527,48085030527,Census Tract 305.27, Collin County, Texas,102273.9997,96667,0.28530501,0.52
1400000US48085030528,48085030528,Census Tract 305.28, Collin County, Texas,102274.0025,125560,0.285305016,0.53
1400000US48085030529,48085030529,Census Tract 305.29, Collin County, Texas,102274.0003,98523,0.285305028,0.6
1400000US48085030530,48085030530,Census Tract 305.30, Collin County, Texas,102274.0012,97083,0.285305012,0.59
1400000US48085030531,48085030531,Census Tract 305.31, Collin County, Texas,102273.9548,125278,0.285305127,0.5
1400000US48085030601,48085030601,Census Tract 306.01, Collin County, Texas,102366.2457,97831,0.290946352,0.58
1400000US48085030603,48085030603,Census Tract 306.03, Collin County, Texas,56857.72293,67868,0.208186995,0.47
1400000US48085030604,48085030604,Census Tract 306.04, Collin County, Texas,56786.00153,80991,0.208061142,0.63
1400000US48085030605,48085030605,Census Tract 306.05, Collin County, Texas,56786.00046,71038,0.208061142,0.43
1400000US48085030701,48085030701,Census Tract 307.01, Collin County, Texas,38217.00054,51681,0.134464108,0.19
1400000US48085030702,48085030702,Census Tract 307.02, Collin County, Texas,38216.99968,43698,0.134464111,0.31
1400000US48085030801,48085030801,Census Tract 308.01, Collin County, Texas,39935.66842,44946,0.182972009,0.35
1400000US48085030802,48085030802,Census Tract 308.02, Collin County, Texas,39944.65002,34726,0.183178275,0.23
1400000US48085030900,48085030900,Census Tract 309, Collin County, Texas,30653.34415,31111,0.036253357,0.16
1400000US48085031001,48085031001,Census Tract 310.01, Collin County, Texas,52027,53279,0.149446123,0.3
1400000US48085031003,48085031003,Census Tract 310.03, Collin County, Texas,45633.99925,44843,0.122671514,0.34
1400000US48085031004,48085031004,Census Tract 310.04, Collin County, Texas,45634.00157,56071,0.122671517,0.34
1400000US48085031100,48085031100,Census Tract 311, Collin County, Texas,43482.9992,61518,0.131222881,0.28
1400000US48085031201,48085031201,Census Tract 312.01, Collin County, Texas,50468.8216,67330,0.135646664,0.4
1400000US48085031202,48085031202,Census Tract 312.02, Collin County, Texas,50504.00128,70082,0.135667859,0.41
1400000US48085031308,48085031308,Census Tract 313.08, Collin County, Texas,62238.0009,93333,0.210350322,0.47
1400000US48085031309,48085031309,Census Tract 313.09, Collin County, Texas,62238.0026,72735,0.210350315,0.34
1400000US48085031310,48085031310,Census Tract 313.10, Collin County, Texas,61786.0013,74904,0.204292365,0.38
1400000US48085031311,48085031311,Census Tract 313.11, Collin County, Texas,61785.99802,91180,0.204292369,0.56
1400000US48085031312,48085031312,Census Tract 313.12, Collin County, Texas,90316.0014,119754,0.311665453,0.55
1400000US48085031313,48085031313,Census Tract 313.13, Collin County, Texas,90315.99536,137872,0.311665452,0.66
1400000US48085031314,48085031314,Census Tract 313.14, Collin County, Texas,62619.00113,115750,0.213392192,0.63
1400000US48085031315,48085031315,Census Tract 313.15, Collin County, Texas,62619.00058,93494,0.213392192,0.49
1400000US48085031316,48085031316,Census Tract 313.16, Collin County, Texas,89020.99827,117793,0.288245009,0.68
1400000US48085031317,48085031317,Census Tract 313.17, Collin County, Texas,89021.00176,100973,0.288245008,0.59
