County,county_name,d,satis_ph1_nm,satis_rec_nm,percent
'001,Anderson,50,35,18,0.7
'002,Andrews,21,8,5,0.380952381
'003,Angelina,93,64,30,0.688172043
'004,Aransas,19,15,6,0.789473684
'005,Archer,11,4,2,0.363636364
'006,Armstrong,2,0,0,0
'007,Atascosa,70,48,22,0.685714286
'008,Austin,45,29,13,0.644444444
'009,Bailey,12,7,3,0.583333333
'010,Bandera,21,15,7,0.714285714
'011,Bastrop,101,74,33,0.732673267
'012,Baylor,1,0,0,0
'013,Bee,47,35,15,0.744680851
'014,Bell,539,431,240,0.799628942
'015,Bexar,1943,1469,791,0.756047349
'016,Blanco,15,7,5,0.466666667
'017,Borden,0,0,0,0
'018,Bosque,13,0,0,0
'019,Bowie,82,47,28,0.573170732
'020,Brazoria,295,218,123,0.738983051
'021,Brazos,125,101,51,0.808
'022,Brewster,12,6,3,0.5
'023,Briscoe,1,0,0,0
'024,Brooks,0,0,0,0
'025,Brown,52,33,19,0.634615385
'026,Burleson,11,5,5,0.454545455
'027,Burnet,69,47,20,0.68115942
'028,Caldwell,51,39,17,0.764705882
'029,Calhoun,32,23,13,0.71875
'030,Callahan,23,14,5,0.608695652
'031,Cameron,62,47,21,0.758064516
'032,Camp,11,10,6,0.909090909
'033,Carson,2,0,0,0
'034,Cass,23,18,12,0.782608696
'035,Castro,4,0,0,0
'036,Chambers,36,27,18,0.75
'037,Cherokee,44,31,10,0.704545455
'038,Childress,7,5,5,0.714285714
'039,Clay,9,4,4,0.444444444
'040,Cochran,0,0,0,#DIV/0!
'041,Coke,4,0,0,0
'042,Coleman,5,0,0,0
'043,Collin,553,447,245,0.808318264
'044,Collingsworth,4,0,0,0
'045,Colorado,22,17,10,0.772727273
'046,Comal,134,102,56,0.76119403
'047,Comanche,19,17,8,0.894736842
'048,Concho,5,0,0,0
'049,Cooke,38,26,12,0.684210526
'050,Coryell,78,56,32,0.717948718
'051,Cottle,1,0,0,0
'052,Crane,9,5,1,0.555555556
'053,Crockett,10,3,0,0.3
'054,Crosby,9,6,3,0.666666667
'055,Culberson,4,0,0,0
'056,Dallam,17,10,3,0.588235294
'057,Dallas,2254,1688,888,0.748890861
