id,name,latitude,longitude,testedNum,gradeLevelNum,literacyRate
57802001,PEGASUS CHARTER H S,32.7847943,-96.8008368,40,18,0.45
57803101,UPLIFT EDUCATIION-NORTH HILLS PREP PRI,32.8948708,-96.9344482,94,92,0.978723404
57803102,UPLIFT EDUCATION - INFINITY PREPARATORY PRI,32.7993011,-96.9598312,71,52,0.732394366
57805101,LINDSLEY PARK COMMUNITY SCHOOL,32.808037,-96.738277,28,20,0.714285714
57806101,ADVANTAGE ACADEMY,32.6475437,-96.8320202,142,86,0.605633803
57807001,LIFE SCHOOL OAK CLIFF,32.691206,-96.8226063,114,55,0.48245614
57807101,LIFE SCHOOL RED OAK,32.500049,-96.822727,146,120,0.821917808
57807102,LIFE SCHOOL LANCASTER,32.5770493,-96.8214417,91,56,0.615384615
57807104,LIFE SCHOOL CEDAR HILL,32.6198425,-96.9467163,99,82,0.828282828
57808101,UNIVERSAL ACADEMY,32.8426628,-96.9581146,82,55,0.670731707
57808102,UNIVERSAL ACADEMY - FLOWER MOUND,32.842663,-96.958115,109,108,0.990825688
57809101,NOVA ACADEMY,32.764335,-96.709934,8,8,1
57810101,ACADEMY OF DALLAS,32.6881181,-96.8386533,19,8,0.421052632
57813101,TRINITY BASIN PREPARATORY,32.7418289,-96.8237381,172,100,0.581395349
57815101,FAITH FAMILY ACADEMY OF OAK CLIFF,32.6222538,-96.8518451,162,72,0.444444444
57816101,AW BROWN-FELLOWSHIP CHARTER SCHOOL,32.6776619,-96.8815918,144,95,0.659722222
57817101,FOCUS LEARNING ACADEMY,32.6911665,-96.8602136,77,40,0.519480519
57819001,JEAN MASSIEU ACADEMY,32.7473717,-97.1061172,20,10,0.5
57825001,PINNACLE ACADEMY,32.7698708,-96.7248077,15,12,0.8
57825006,BRANCH PARK ACADEMY,32.9289148,-96.8730567,6,4,0.666666667
57825012,CREEKVIEW ACADEMY,31.1153488,-97.7324753,18,14,0.777777778
57825013,WILMER ACADEMY,32.5870827,-96.684034,16,6,0.375
57827101,NOVA ACADEMY (SOUTHEAST),32.764335,-96.709934,28,13,0.464285714
57827102,NOVA ACADEMY PRICHARD,32.7621269,-96.6881256,54,33,0.611111111
57829001,A+ ACADEMY,32.6929474,-96.6454163,69,43,0.623188406
57830001,INSPIRED VISION ACADEMY EL,32.7491112,-96.6789398,70,57,0.814285714
57831001,GATEWAY CHARTER ACADEMY -EL,32.6737938,-96.8076172,56,31,0.553571429
57833001,EDUCATION CENTER INTERNATIONAL ACADEMY 1,32.774403,-96.62112,10,6,0.6
57833002,EDUCATION CENTER INTERNATIONAL ACADEMY 2,32.774403,-96.62112,23,15,0.652173913
