GEOID,travel_time
48001950100,32.6
48001950401,4.8
48001950402,11.2
48001950500,24
48001950600,18.4
48001950700,12.8
48001950800,14.2
48001950901,26.6
48001950902,18.5
48001951000,24.8
48001951100,22.3
48003950100,23.5
48003950200,23.2
48003950300,22.4
48003950400,23.7
48005000101,17.8
48005000102,22.2
48005000200,28
48005000301,16.2
48005000302,20.7
48005000400,15.5
48005000500,16.2
48005000600,15.3
48005000700,12.7
48005000800,15.7
48005000901,13.9
48005000902,17.1
48005001001,19.3
48005001002,23.8
48005001100,21.5
48005001200,31.7
48005001300,21.9
48007950100,23.4
48007950200,30.2
48007950300,13.9
48007950400,23.6
48007950500,28.9
48007990000,-
48009020100,19.1
48009020200,23.4
48009020300,19.9
48011950100,25.8
48013960100,25
48013960201,38.4
48013960202,35.7
48013960300,30.4
48013960401,41.9
48013960402,23.2
48013960500,29
48013960600,22.9
48015760100,29.5
48015760200,30.3
48015760300,26.6
48015760400,30.4
48015760501,32.6
48015760502,21.7
48017950100,19.3
48019000101,28.9
48019000102,34.7
48019000200,28.2
48019000300,50.1
48019000400,47.3
48021950100,35.9
48021950200,35.5
48021950300,33.8
48021950400,31.5
48021950501,26.9
48021950502,35.7
48021950600,34.9
48021950700,24.9
48021950801,40.9
48021950802,40.8
48023950300,13.5
48025950100,35.9
48025950201,34.7
48025950202,32.5
48025950300,18.2
48025950400,17.2
48025950500,21
48025950600,31.9
48027020100,21.5
48027020201,19.5
48027020202,25.4
48027020300,21
48027020401,14.8
48027020402,17.4
48027020500,15.9
48027020600,15
48027020701,11.2
48027020702,16.8
48027020800,16.7
48027020900,14.4
48027021000,12.7
48027021100,13.1
48027021201,13.6
48027021202,14.8
48027021203,14.8
48027021301,17.2
48027021302,15.4
48027021303,14
48027021400,22.2
48027021500,18.7
48027021601,16.5
48027021602,16.5
48027021700,18.6
48027021800,26.7
48027021901,15.7
48027021903,17.7
48027021904,24.2
48027022000,20.7
48027022101,20.5
48027022103,25.3
48027022104,16.4
48027022105,21.7
48027022200,21
48027022300,20.9
48027022401,18.9
48027022402,21.4
48027022403,19.7
48027022404,20.7
48027022405,18.8
48027022501,23.6
48027022502,22.9
48027022600,16.5
48027022801,19.7
48027022900,19
48027023000,18
48027023103,20.8
48027023104,14.5
48027023105,23.4
48027023106,17.9
48027023107,15.6
48027023108,19.2
48027023201,9.9
48027023202,12.1
48027023203,13.7
48027023204,9.2
48027023300,27.6
48027023402,23.2
48027023403,23.7
48027023404,26
48027023500,19.7
48027980001,7.9
48027980002,-
48027980003,-
48029110100,21.1
48029110300,18.7
48029110500,25.1
48029110600,24
48029110700,19.3
48029110800,15.8
48029110900,28.1
48029111000,23.3
48029120100,10.9
48029120300,18.7
48029120400,21.5
48029120501,20.9
48029120502,22.7
48029120600,21.6
48029120701,20.5
48029120702,19.4
48029120800,17.6
48029120901,22.5
48029120902,18.8
48029121000,25.1
48029121108,19
48029121110,24
48029121111,23.7
48029121112,24.6
48029121115,21.2
48029121116,23.9
48029121117,22.1
48029121118,22.9
48029121119,23.9
48029121120,22.7
48029121121,24.6
48029121122,23.5
48029121203,21.6
48029121204,20.2
48029121205,22.3
48029121206,22.2
48029121300,22.8
48029121402,24.4
48029121403,22.5
48029121404,17.5
48029121501,24.3
48029121504,22.6
48029121505,26.8
48029121506,27.6
48029121507,27.6
