Id,GEOID,Geography,County,State,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,poverty_percent
1400000US48201100000,48201100000,Census Tract 1000, Harris County, Texas,2888,554,0.191828255
1400000US48201210100,48201210100,Census Tract 2101, Harris County, Texas,100,0,0
1400000US48201210400,48201210400,Census Tract 2104, Harris County, Texas,5687,2396,0.421311764
1400000US48201210500,48201210500,Census Tract 2105, Harris County, Texas,5126,2274,0.443620757
1400000US48201210600,48201210600,Census Tract 2106, Harris County, Texas,5685,802,0.141072999
1400000US48201210700,48201210700,Census Tract 2107, Harris County, Texas,2309,769,0.333044608
1400000US48201210800,48201210800,Census Tract 2108, Harris County, Texas,2313,971,0.419801124
1400000US48201210900,48201210900,Census Tract 2109, Harris County, Texas,1535,611,0.398045603
1400000US48201211000,48201211000,Census Tract 2110, Harris County, Texas,1801,580,0.322043309
1400000US48201211100,48201211100,Census Tract 2111, Harris County, Texas,6078,3371,0.554623231
1400000US48201211200,48201211200,Census Tract 2112, Harris County, Texas,2548,1319,0.517660911
1400000US48201211300,48201211300,Census Tract 2113, Harris County, Texas,5380,2577,0.478996283
1400000US48201211400,48201211400,Census Tract 2114, Harris County, Texas,3686,1327,0.360010852
1400000US48201211500,48201211500,Census Tract 2115, Harris County, Texas,7175,2137,0.297839721
1400000US48201211600,48201211600,Census Tract 2116, Harris County, Texas,3397,1255,0.369443627
1400000US48201211700,48201211700,Census Tract 2117, Harris County, Texas,3250,1407,0.432923077
1400000US48201211900,48201211900,Census Tract 2119, Harris County, Texas,4974,1562,0.314032971
1400000US48201212300,48201212300,Census Tract 2123, Harris County, Texas,5592,2962,0.529685265
1400000US48201212400,48201212400,Census Tract 2124, Harris County, Texas,3431,1061,0.309239289
1400000US48201212500,48201212500,Census Tract 2125, Harris County, Texas,3949,1046,0.264877184
1400000US48201220100,48201220100,Census Tract 2201, Harris County, Texas,2619,736,0.281023291
1400000US48201220200,48201220200,Census Tract 2202, Harris County, Texas,2676,604,0.225710015
1400000US48201220300,48201220300,Census Tract 2203, Harris County, Texas,4548,1508,0.331574318
1400000US48201220400,48201220400,Census Tract 2204, Harris County, Texas,4422,1513,0.342152872
1400000US48201220500,48201220500,Census Tract 2205, Harris County, Texas,4307,1372,0.318551196
1400000US48201220600,48201220600,Census Tract 2206, Harris County, Texas,3875,1058,0.273032258
1400000US48201220700,48201220700,Census Tract 2207, Harris County, Texas,6146,2255,0.366905304
1400000US48201220800,48201220800,Census Tract 2208, Harris County, Texas,3055,1505,0.492635025
1400000US48201220900,48201220900,Census Tract 2209, Harris County, Texas,1581,421,0.26628716
1400000US48201221000,48201221000,Census Tract 2210, Harris County, Texas,3223,1172,0.363636364
1400000US48201221100,48201221100,Census Tract 2211, Harris County, Texas,3630,964,0.265564738
1400000US48201221200,48201221200,Census Tract 2212, Harris County, Texas,6557,1431,0.218240049
1400000US48201221300,48201221300,Census Tract 2213, Harris County, Texas,9083,3019,0.33237917
1400000US48201221400,48201221400,Census Tract 2214, Harris County, Texas,6882,3514,0.510607382
1400000US48201221500,48201221500,Census Tract 2215, Harris County, Texas,8486,3908,0.460523215
1400000US48201221600,48201221600,Census Tract 2216, Harris County, Texas,9493,3127,0.329400611
1400000US48201221700,48201221700,Census Tract 2217, Harris County, Texas,8501,2638,0.310316433
1400000US48201221800,48201221800,Census Tract 2218, Harris County, Texas,3832,1821,0.475208768
1400000US48201221900,48201221900,Census Tract 2219, Harris County, Texas,3780,1264,0.334391534
1400000US48201222000,48201222000,Census Tract 2220, Harris County, Texas,2609,836,0.320429283
1400000US48201222100,48201222100,Census Tract 2221, Harris County, Texas,5055,1740,0.34421365
1400000US48201222200,48201222200,Census Tract 2222, Harris County, Texas,3493,1226,0.35098769
1400000US48201222300,48201222300,Census Tract 2223, Harris County, Texas,4536,1291,0.284611993
1400000US48201222401,48201222401,Census Tract 2224.01, Harris County, Texas,3008,1402,0.466090426
1400000US48201222402,48201222402,Census Tract 2224.02, Harris County, Texas,6287,1823,0.289963417
1400000US48201222501,48201222501,Census Tract 2225.01, Harris County, Texas,3345,1434,0.428699552
