GEOID,POV_70,POV_10
48085030100,0.228015983,0.045045045
48085030201,0.138983207,0.003590664
48085030202,0.138983209,0.049563431
48085030203,0.138983207,0.017640573
48085030301,0.153432039,0.01754386
48085030302,0.153432029,0.049916408
48085030303,0.153432036,0.227635783
48085030304,0.153432027,0.088797533
48085030305,0.153432025,0.106688267
48085030403,0.204872159,0.02359882
48085030404,0.204886409,0.03635859
48085030405,0.204885564,0.057097792
48085030406,0.20488637,0.01464687
48085030407,0.204886406,0.012978369
48085030408,0.204879985,0.016268327
48085030504,0.204488979,0.013613159
48085030505,0.202706747,0.073216995
48085030506,0.195423763,0.309556787
48085030507,0.195422539,0.023330652
48085030508,0.195422531,0.021944142
48085030509,0.19567853,0.113475177
48085030510,0.195304893,0.042965459
48085030511,0.197151128,0.031724138
48085030512,0.195304875,0.007719027
48085030513,0.195304884,0.074517766
48085030514,0.195273682,0.031335899
48085030515,0.19530489,0.176397516
48085030516,0.195304887,0.280450598
48085030517,0.194575766,0.088266305
48085030518,0.198118508,0.127458694
48085030519,0.193707165,0.138201569
48085030520,0.193687629,0.200140944
48085030521,0.193687638,0.105808081
48085030522,0.193687633,0.08113787
48085030523,0.193687625,0.188593649
48085030524,0.193687639,0.126887132
48085030525,0.193687625,0.020859583
48085030526,0.193687631,0.040421489
48085030527,0.193687641,0.084731954
48085030528,0.193687627,0.06421842
48085030529,0.193687632,0.068852994
48085030530,0.19368763,0.082906381
48085030531,0.193687634,0.059058824
48085030601,0.04756408,0.020691277
48085030603,0.046455698,0.009785933
48085030604,0.04633782,0.028014616
48085030605,0.046337818,0.012803004
48085030701,0.210260733,0.019670815
48085030702,0.210260717,0.062181122
48085030801,0.143926553,0.015079634
48085030802,0.143686607,0.031496063
48085030900,0.230470068,0.035809906
48085031001,0.185897439,0.008115419
48085031003,0.184953899,0.038167939
48085031004,0.1849539,0.029998678
48085031100,0.268882735,0.020386456
48085031201,0.262645878,0.035899752
48085031202,0.26260821,0.056621699
48085031308,0.074908534,0.017594316
48085031309,0.074908528,0.012103873
48085031310,0.074908531,0.027528611
48085031311,0.074908532,0.013004246
48085031312,0.074912001,0.025502318
48085031313,0.074911998,0.001481262
48085031314,0.074908532,0.030292599
48085031315,0.074908533,0.015692977
48085031316,0.074908534,0.025389755
48085031317,0.074908528,0.041353383
48085031405,0.152992915,0.041766827
48085031406,0.152992914,0.003547067
48085031407,0.152992913,0.016430053
48085031408,0.131750745,0.045929019
48085031409,0.131750745,0.055994125
48085031410,0.131773144,0.155357143
48085031411,0.131750741,0.074334659
48085031504,0.136842099,0.046091371
48085031505,0.135588269,0.021040189
48085031506,0.136840724,0.170561375
48085031507,0.136830346,0.306338877
48085031508,0.136830342,0.150895945
48085031611,0.122593069,0.045662906
48085031612,0.122593071,0.052280882
48085031613,0.122593062,0.01202969
48085031621,0.017141967,0.08991613
48085031622,0.122593073,0.010804109
48085031623,0.122593066,0.007494344
48085031624,0.024787306,0.068229464
48085031625,0.122593068,0.019785778
48085031626,0.122593071,0.034094843
48085031627,0.122593063,0.003267381
48085031628,0.122593065,0.080411407
48085031629,0.122593067,0.090620752
48085031630,0.122593067,0.038831983
48085031631,0.122593069,0.053035936
48085031632,0.12259307,0.036766385
48085031633,0.122593072,0.069142762
48085031634,0.122593067,0.021751796
48085031635,0.122593073,0.008212749
48085031636,0.122593064,0.086666667
48085031637,0.122593063,0.009887006
48085031638,0.122593067,0.055922086
48085031639,0.122593074,0.038727524
48085031640,0.123244111,0.021170839
48085031641,0.123361866,0.005125702
48085031642,0.122593063,0.073672505
48085031643,0.122593065,0.043703397
48085031645,0.122593063,0.022538738
48085031646,0.122593062,0.022938444
48085031647,0.122593065,0.066631597
48085031648,0.122593068,0.038547072
48085031649,0.122593069,0.029736117
48085031652,0.122593067,0.123447
