GEOID,POV_70,POV_10
48085030100,0.228015983,0.029968832
48085030201,0.138983207,0.004641448
48085030202,0.138983209,0.031315918
48085030203,0.138983207,0.020985572
48085030301,0.153432039,0.022128958
48085030302,0.153432029,0.049061033
48085030303,0.153432036,0.092743248
48085030304,0.153432027,0.052844037
48085030305,0.153432025,0.067984073
48085030403,0.204872159,0.032174662
48085030404,0.204886409,0.06156015
48085030405,0.204885564,0.045170951
48085030406,0.20488637,0.013716648
48085030407,0.204886406,0.019672131
48085030408,0.204879985,0.0174946
48085030504,0.204488979,0.012671595
48085030505,0.202706747,0.037101115
48085030506,0.195423763,0.096398534
48085030507,0.195422539,0.039931153
48085030508,0.195422531,0.042072323
48085030509,0.19567853,0.10954955
48085030510,0.195304893,0.036624776
48085030511,0.197151128,0.047252183
48085030512,0.195304875,0.006300205
48085030513,0.195304884,0.055505142
48085030514,0.195273682,0.040840697
48085030515,0.19530489,0.056709265
48085030516,0.195304887,0.245632066
48085030517,0.194575766,0.135616755
48085030518,0.198118508,0.170670038
48085030519,0.193707165,0.127116292
48085030520,0.193687629,0.223974763
48085030521,0.193687638,0.084069021
48085030522,0.193687633,0.083527454
48085030523,0.193687625,0.175336413
48085030524,0.193687639,0.200226886
48085030525,0.193687625,0.056525038
48085030526,0.193687631,0.162049861
48085030527,0.193687641,0.10458568
48085030528,0.193687627,0.060573087
48085030529,0.193687632,0.157521463
48085030530,0.19368763,0.074978939
48085030531,0.193687634,0.043275862
48085030601,0.04756408,0.01698186
48085030603,0.046455698,0.009746193
48085030604,0.04633782,0.02107385
48085030605,0.046337818,0.093167702
48085030701,0.210260733,0.034498944
48085030702,0.210260717,0.029371893
48085030801,0.143926553,0.014004721
48085030802,0.143686607,0.018105009
48085030900,0.230470068,0.030162086
48085031001,0.185897439,0.011363636
48085031003,0.184953899,0.047680621
48085031004,0.1849539,0.049038669
48085031100,0.268882735,0.020668584
48085031201,0.262645878,0.022259555
48085031202,0.26260821,0.051476939
48085031308,0.074908534,0.016946391
48085031309,0.074908528,0.010574889
48085031310,0.074908531,0.029042258
48085031311,0.074908532,0.011411272
48085031312,0.074912001,0.038823529
48085031313,0.074911998,0.002351281
48085031314,0.074908532,0.017940877
48085031315,0.074908533,0.024604141
48085031316,0.074908534,0.02919085
48085031317,0.074908528,0.033855212
48085031405,0.152992915,0.04432398
48085031406,0.152992914,0.002202643
48085031407,0.152992913,0.027034121
48085031408,0.131750745,0.047858099
48085031409,0.131750745,0.055004509
48085031410,0.131773144,0.067537844
48085031411,0.131750741,0.032113123
48085031504,0.136842099,0.040241092
48085031505,0.135588269,0.02009483
48085031506,0.136840724,0.12065362
48085031507,0.136830346,0.215022839
48085031508,0.136830342,0.105633803
48085031611,0.122593069,0.040055676
48085031612,0.122593071,0.054140127
48085031613,0.122593062,0.007264297
48085031621,0.017141967,0.06828618
48085031622,0.122593073,0.020998279
48085031623,0.122593066,0.008234929
48085031624,0.024787306,0.05315516
48085031625,0.122593068,0.02173913
48085031626,0.122593071,0.059194712
48085031627,0.122593063,0.004911323
48085031628,0.122593065,0.054873186
48085031629,0.122593067,0.06423639
48085031630,0.122593067,0.046631173
48085031631,0.122593069,0.063690476
48085031632,0.12259307,0.049250535
48085031633,0.122593072,0.084670051
48085031634,0.122593067,0.026477541
48085031635,0.122593073,0.011281225
48085031636,0.122593064,0.068932273
48085031637,0.122593063,0.015403961
48085031638,0.122593067,0.031382228
48085031639,0.122593074,0.050230651
48085031640,0.123244111,0.029434349
48085031641,0.123361866,0.004095963
48085031642,0.122593063,0.046935884
48085031643,0.122593065,0.029835973
48085031645,0.122593063,0.027444254
48085031646,0.122593062,0.023504909
48085031647,0.122593065,0.065766701
48085031648,0.122593068,0.018878199
48085031649,0.122593069,0.035296868
48085031652,0.122593067,0.105799728
48085031653,0.122593068,0.130255313
48085031654,0.122593067,0.073358116
48085031655,0.122593072,0.142955013
48085031656,0.122593065,0.045929365
48085031658,0.122593065,0.097770825
48085031659,0.122593069,0.211818182
48085031660,0.122593073,0.063155771
48085031661,0.122593073,0.20578071
48085031662,0.122593071,0.230586841
48085031663,0.122593071,0.046944035
48085031664,0.12259307,0.020014645
48085031704,0.233038358,0.009174312
48085031706,0.233038354,0.006835128
48085031708,0.233038345,0.012208483
48085031709,0.233038344,0.029036005
48085031711,0.233038355,0.046466772
48085031712,0.233038352,0.018532246
48085031713,0.233038341,0.01988972
48085031714,0.233038353,0.003965107
48085031715,0.233038348,0.014796547
48085031716,0.233038346,0.014808652
48085031717,0.233038347,0.006987995
48085031718,0.233038352,0.01116218
48085031719,0.233038354,0.032665182
48085031720,0.23303834,0.01907504
48085031802,0.017141967,0.013016314
48085031804,0.038445481,0.027919544
48085031805,0.113475278,0.030037843
48085031806,0.017141967,0.011516315
48085031807,0.017141966,0.079613678
48085031900,0.217294526,0.083296014
48085032003,0.030612244,0.045995671
48085032004,0.030620037,0.111902877
48085032008,0.030612244,0.040773286
48085032009,0.03061523,0.174219537
48085032010,0.031418577,0.023567006
