year,jurisdiction,type,averageScore,frlScore,notFrlScore,ellScore,notEllScore,whiteScore,blackScore,hispanicScore,asianScore
2013,Alabama,state,233,223,246,209,233,242,215,228,‡
2013,Alaska,state,236,224,249,202,242,249,228,235,233
2013,Arizona,state,240,230,252,206,243,251,230,232,256
2013,Arkansas,state,240,232,251,231,241,246,223,234,258
2013,California,state,234,224,249,213,241,249,221,224,254
2013,Colorado,state,247,233,257,221,251,256,227,233,255
2013,Connecticut,state,243,225,255,211,245,253,219,224,257
2013,Delaware,state,243,233,254,215,244,252,229,234,270
2013,District of Columbia,city,229,220,261,211,230,276,221,228,‡
2013,Florida,state,242,233,255,218,244,251,228,238,264
2013,Georgia,state,240,230,255,217,241,250,226,235,263
2013,Hawaii,state,243,234,253,209,246,253,232,241,241
2013,Idaho,state,241,233,248,208,242,244,‡,225,‡
2013,Illinois,state,239,226,252,211,242,248,220,229,266
2013,Indiana,state,249,239,259,236,249,252,227,242,‡
2013,Iowa,state,246,232,255,227,247,249,218,234,254
2013,Kansas,state,246,237,256,233,248,250,228,235,261
2013,Kentucky,state,241,232,251,223,242,244,224,234,260
2013,Louisiana,state,231,226,244,222,232,242,221,232,‡
2013,Maine,state,246,236,254,216,246,247,227,‡,‡
2013,Maryland,state,245,228,258,218,248,260,227,234,270
2013,Massachusetts,state,253,237,264,223,256,260,230,234,266
2013,Michigan,state,237,224,252,216,239,244,212,226,259
2013,Minnesota,state,253,237,263,221,256,259,232,234,250
2013,Mississippi,state,231,226,248,‡,231,243,220,230,‡
2013,Missouri,state,240,230,250,‡,240,245,219,233,‡
2013,Montana,state,244,234,252,211,245,248,‡,237,‡
2013,Nebraska,state,243,230,254,215,245,251,215,227,243
2013,Nevada,state,236,230,246,222,240,245,221,230,244
2013,New Hampshire,state,253,239,258,218,254,254,‡,236,257
2013,New Jersey,state,247,232,257,219,248,254,229,234,267
2013,New Mexico,state,233,228,247,212,237,246,225,229,‡
2013,New York,state,240,231,251,211,243,248,225,229,259
2013,North Carolina,state,245,235,259,226,246,254,230,239,261
2013,North Dakota,state,246,236,252,‡,247,249,239,237,251
2013,Ohio,state,246,232,257,234,246,252,222,237,260
2013,Oklahoma,state,239,232,249,224,240,245,219,229,257
2013,Oregon,state,240,230,254,214,244,245,220,224,256
2013,Pennsylvania,state,244,232,254,216,245,250,226,229,259
2013,Rhode Island,state,241,229,253,205,244,250,224,226,239
2013,South Carolina,state,237,227,252,230,237,247,222,229,‡
2013,South Dakota,state,241,230,249,213,242,247,221,226,‡
2013,Tennessee,state,240,228,254,216,241,247,221,229,255
2013,Texas,state,242,233,256,229,246,255,231,235,272
2013,Utah,state,243,233,250,200,245,248,‡,221,240
2013,Vermont,state,248,236,256,‡,248,249,‡,‡,‡
2013,Virginia,state,246,231,255,225,248,252,229,236,264
2013,Washington,state,246,234,257,216,249,251,231,229,260
2013,West Virginia,state,237,234,248,‡,237,238,228,‡,‡
2013,Wisconsin,state,245,232,255,224,246,252,216,228,247
2013,Wyoming,state,247,239,252,216,247,249,‡,235,‡
2013,Albuquerque,city,235,227,253,211,240,253,‡,229,‡
2013,Atlanta,city,233,222,263,‡,234,269,222,233,‡
2013,Austin,city,245,233,265,230,253,264,228,237,‡
2013,Baltimore City,city,223,220,243,‡,223,250,220,227,‡
2013,Boston,city,237,233,258,228,242,255,228,233,259
2013,Charlotte,city,247,236,262,222,250,264,235,242,255
2013,Chicago,city,231,225,259,211,234,261,221,230,256
2013,Cleveland,city,216,216,‡,211,217,233,210,221,‡
2013,Dallas,city,234,233,254,234,235,‡,226,235,‡
2013,Detroit,city,204,203,217,213,202,‡,201,214,‡
2013,District of Columbia (DCPS),city,229,217,266,209,230,277,218,226,‡
2013,Fresno,city,220,217,246,205,225,241,211,217,221
2013,Hillsborough County (FL),city,243,232,257,219,245,254,227,238,262
2013,Houston,city,236,232,257,230,240,261,227,235,‡
2013,Jefferson County (KY),city,234,224,251,211,235,245,220,224,‡
2013,Los Angeles,city,228,224,251,207,237,254,223,224,251
2013,Miami-Dade,city,237,232,252,218,243,251,227,238,‡
2013,Milwaukee,city,221,217,243,223,221,246,209,227,234
2013,New York City,city,236,231,252,210,240,251,225,228,257
2013,Philadelphia,city,223,222,245,208,225,237,218,217,246
2013,San Diego,city,241,231,260,222,250,260,228,228,252
2011,Alabama,state,231,222,244,‡,232,240,215,227,‡
2011,Alaska,state,236,224,247,201,242,248,225,239,234
2011,Arizona,state,235,227,247,208,239,246,224,227,249
2011,Arkansas,state,238,230,252,227,239,244,219,233,247
2011,California,state,234,222,251,214,243,252,225,222,256
2011,Colorado,state,244,231,256,218,249,254,225,230,246
2011,Connecticut,state,242,223,254,205,245,253,220,222,255
2011,Delaware,state,240,231,250,211,241,250,227,231,262
2011,District of Columbia,city,222,213,246,211,223,272,215,223,‡
2011,Florida,state,240,232,252,219,242,250,226,236,257
2011,Georgia,state,238,227,252,219,239,249,224,233,263
2011,Hawaii,state,239,228,248,213,242,248,233,237,237
2011,Idaho,state,240,232,248,204,242,244,‡,223,247
2011,Illinois,state,239,225,252,215,241,249,219,226,257
2011,Indiana,state,244,235,253,231,245,249,223,234,‡
2011,Iowa,state,243,233,250,220,244,246,224,229,248
2011,Kansas,state,246,238,255,233,248,251,227,235,253
2011,Kentucky,state,241,232,251,225,241,243,225,236,261
2011,Louisiana,state,231,224,246,227,231,241,219,230,‡
2011,Maine,state,244,235,252,213,245,246,212,‡,246
2011,Maryland,state,247,233,258,231,248,258,230,245,267
2011,Massachusetts,state,253,239,261,228,255,258,235,236,267
2011,Michigan,state,236,224,247,217,237,242,211,228,263
2011,Minnesota,state,249,235,258,226,252,255,225,230,253
2011,Mississippi,state,230,224,246,‡,230,241,217,229,‡
2011,Missouri,state,240,230,252,217,241,246,216,231,252
2011,Montana,state,244,234,251,‡,245,247,‡,237,‡
2011,Nebraska,state,240,227,250,216,242,247,213,226,241
2011,Nevada,state,237,229,248,224,242,247,226,229,252
2011,New Hampshire,state,252,241,256,228,252,252,235,235,264
2011,New Jersey,state,248,233,257,216,249,256,231,234,265
2011,New Mexico,state,233,226,248,209,237,247,226,228,254
2011,New York,state,238,229,248,211,240,245,224,226,252
2011,North Carolina,state,245,235,256,229,246,253,229,238,263
2011,North Dakota,state,245,235,251,212,246,249,‡,233,‡
2011,Ohio,state,244,234,253,230,245,249,226,233,254
2011,Oklahoma,state,237,232,246,216,239,243,224,227,252
2011,Oregon,state,237,226,250,209,241,243,215,220,249
2011,Pennsylvania,state,246,231,256,214,247,251,224,226,264
2011,Rhode Island,state,242,229,252,207,244,249,225,224,251
2011,South Carolina,state,237,227,251,234,237,248,220,234,‡
2011,South Dakota,state,241,231,249,208,242,246,227,226,‡
2011,Tennessee,state,233,225,245,216,233,239,216,228,249
2011,Texas,state,241,234,253,228,245,253,232,235,263
2011,Utah,state,243,232,249,206,245,247,‡,223,236
2011,Vermont,state,247,238,253,‡,247,248,‡,‡,‡
2011,Virginia,state,245,231,253,228,247,251,229,237,262
2011,Washington,state,243,230,255,211,247,249,227,226,256
2011,West Virginia,state,235,227,243,‡,235,235,227,‡,‡
2011,Wisconsin,state,245,231,254,223,247,251,217,228,242
2011,Wyoming,state,244,236,249,219,245,246,‡,235,‡
2011,Albuquerque,city,235,227,253,211,241,254,‡,229,‡
2011,Atlanta,city,228,218,260,‡,229,269,219,230,‡
2011,Austin,city,245,235,264,232,252,266,232,237,‡
2011,Baltimore City,city,226,224,240,‡,226,244,223,‡,‡
2011,Boston,city,237,234,251,230,241,255,230,234,259
2011,Charlotte,city,247,235,260,229,249,264,232,240,258
2011,Chicago,city,224,221,246,210,227,246,217,223,247
2011,Cleveland,city,216,216,‡,212,216,232,211,218,‡
2011,Dallas,city,233,231,250,231,235,258,225,234,‡
2011,Detroit,city,203,203,208,214,202,‡,201,215,‡
2011,District of Columbia (DCPS),city,222,211,250,209,223,272,212,223,‡
2011,Fresno,city,218,215,252,202,224,238,214,214,223
2011,Hillsborough County (FL),city,243,234,256,228,246,253,228,239,‡
2011,Houston,city,237,233,253,232,240,259,229,236,264
