GEOID,POP70SP1,pop0a,popGrowth
48113013102,1948.870132,14,-0.99281635
48113010804,3463.123696,26,-0.992492327
48113019204,5902.000009,45,-0.992375466
48113011500,6884.965688,81,-0.988235235
48439110101,4620.383315,75,-0.983767581
48113011103,4355.984483,189,-0.956611416
48113011702,4098.804759,258,-0.937054821
48113011900,2893.42927,195,-0.932605921
48439100101,4411.999967,399,-0.909564823
48113019205,3444.928818,379,-0.889983213
48113020500,13464.00013,1897,-0.859105765
48113006200,5164.264315,770,-0.850898414
48113020300,10357.39261,1879,-0.818583685
48113018001,5263.799239,1009,-0.808313358
48113007202,2194.170042,479,-0.781694221
48113011701,3694.190141,810,-0.780736787
48113010902,386.4878995,88,-0.772308525
48439100102,3886.368848,927,-0.761474004
48439110402,4887.532519,1177,-0.759183188
48113006100,5095.999954,1377,-0.729788067
48113004900,8977.999957,2449,-0.727222097
48113002500,8303.146063,2362,-0.715529514
48113015700,3550.426173,1035,-0.7084857
48439102401,4400.248007,1306,-0.703198547
48113011001,5631.391408,1686,-0.700606852
48113011101,1927.99998,589,-0.694502072
48113011105,3201.163898,981,-0.693548962
48113014133,6247.554157,1956,-0.68691748
48113012400,6658.00003,2111,-0.682937821
48113008802,5984.03916,1902,-0.682154486
48121020401,5524.694975,1766,-0.680344343
48113010101,6809.797428,2317,-0.65975493
48439110500,8562.897253,2968,-0.653388344
48113008500,3616.286443,1260,-0.651576273
48113011800,3384.992529,1199,-0.645789469
48113010000,3788.009866,1362,-0.640444442
48113006002,2942.000069,1064,-0.638341273
48121021000,6052.788206,2237,-0.63041826
48113011002,4612.608561,1733,-0.624290686
48113016703,6876.568686,2599,-0.622049874
48113002000,5815.999954,2206,-0.62070151
48439113709,2871.090969,1141,-0.602590091
48113012209,2598.698883,1053,-0.594797225
48257051300,3226.506197,1343,-0.583760291
48113008900,6011.352968,2666,-0.556505829
48439100700,4994.956178,2216,-0.556352464
48439110102,3874.974765,1723,-0.555351943
48113009000,5787.554578,2577,-0.554734221
48113019211,5249.99913,2360,-0.550476116
48113018700,5316.999974,2401,-0.548429563
48113018801,3910.266305,1799,-0.539929033
48113018900,3477.191261,1605,-0.538420559
48113019501,5915.614481,2737,-0.537326171
48113016903,4262.415292,1992,-0.532659334
48113019302,6533.694498,3090,-0.52706696
48121021732,31.51450399,15,-0.524028682
48113011104,4138.853812,2002,-0.516291203
48113013608,5157.590786,2497,-0.515859225
48113019033,3102.260977,1515,-0.511646502
48439123600,4395.095027,2151,-0.510590787
48113012000,2538.445484,1246,-0.509148411
48113005700,8026.000008,4070,-0.492898082
48113018300,8232.255242,4189,-0.491147945
48113019014,6001.687502,3062,-0.489810158
48439110905,2035.046604,1043,-0.487481025
48113008100,6889.000004,3531,-0.487443751
48113019206,6335.422468,3254,-0.486379951
48113010801,3105.056636,1596,-0.485999714
48113005901,8323.000068,4368,-0.475189239
48121020602,5406.126065,2843,-0.474115112
48113008603,4595.31382,2439,-0.469241907
48113007700,5845.000052,3127,-0.465012836
48113017702,5249.780073,2824,-0.462072704
48113005400,6376.421095,3437,-0.460982901
48113018122,2724.649265,1473,-0.459379958
48113012207,2753.885803,1521,-0.447689516
48113000300,3902.671836,2158,-0.447045488
48113006700,5444.612902,3013,-0.446608959
48113017001,6002.324692,3345,-0.442715919
48439104100,4726.431165,2673,-0.434457013
48113002701,8563.999959,4858,-0.432741707
48113018203,4718.704108,2704,-0.426961314
48439100300,5862.883701,3360,-0.426903181
48439105800,4736.802228,2717,-0.426406282
48439102201,5992.805813,3513,-0.413797124
48113019800,4760.016512,2798,-0.412186913
48113019004,4860.000015,2862,-0.411111113
48113015000,8652.844813,5114,-0.408980502
48439110204,4454.703293,2640,-0.407367938
48439110203,4174.115987,2504,-0.400112501
48113000800,4898.999989,2988,-0.390079607
48113013500,3055.999975,1870,-0.388089
48113020100,4233.15201,2592,-0.387690309
48439110906,2683.24591,1643,-0.387681914
48113019208,2554.994371,1567,-0.386691408
48113009101,5272.999942,3270,-0.379859656
48113012204,4316.319905,2686,-0.377710629
48113015401,5113.14996,3233,-0.367708746
48113003800,4972.863584,3153,-0.365958879
48439121604,3932.061036,2498,-0.36470976
48113019900,4150.952288,2665,-0.357978648
48439123100,9026.937339,5811,-0.356260071
48113019502,4253.058058,2740,-0.355757678
48439102700,4608.999885,2979,-0.353655875
48439110703,2534.051812,1640,-0.352815127
48113003400,7196.012682,4672,-0.350751561
48439100400,5420.685378,3540,-0.34694605
48113000404,4178.504518,2737,-0.344980964
48113005600,5209.941436,3453,-0.337228634
48113016502,6604.029246,4377,-0.337222802
48113008704,6366.008707,4256,-0.331449234
48439104300,5786.35583,3879,-0.329629889
48113007102,7566.000073,5085,-0.32791436
48439102100,5560.000005,3783,-0.319604317
48439122500,3432.226299,2342,-0.317644061
48439105600,6020.548698,4136,-0.313019426
48439113405,5681.421434,3938,-0.3068636
48439102500,5476.315545,3815,-0.303363736
48113012701,6496.831055,4528,-0.303044829
48113018123,1491.626928,1052,-0.294729815
48439123200,5571.012733,3935,-0.29366523
48439100601,4048.191726,2892,-0.285606958
48113008801,5514.958463,3996,-0.275425186
48113002400,4305.197941,3127,-0.273668704
48439110401,4057.798471,2960,-0.270540412
48439113404,6235.657874,4552,-0.270004851
48439102601,3937.724977,2876,-0.269629033
48113018501,3665.000012,2683,-0.267939975
48439100502,6314.000007,4655,-0.262749446
48439105404,3758.52668,2779,-0.260614534
48439113705,1798.903133,1331,-0.260104685
48439110807,1478.030225,1121,-0.241558135
48113005300,5665.000009,4312,-0.238834953
48121020309,2210.393788,1684,-0.238144801
48439122400,5949.99998,4546,-0.235966384
48439102602,4606.649118,3520,-0.235887104
48439113403,4406.271167,3375,-0.234046233
48439104505,3664.636941,2815,-0.231847508
48113003902,4479.546045,3444,-0.231172095
48113004800,4016.074657,3097,-0.228848997
48439105902,3863.782882,2996,-0.224594111
48113000500,4773.481807,3710,-0.222789538
48113000406,6396.741237,4972,-0.222729228
48439113408,4628.769232,3600,-0.222255459
48139061400,4364.822263,3395,-0.222190551
48113017900,6245.324297,4875,-0.219416035
48439106202,6499.267966,5095,-0.216065559
48113018401,3268.196002,2608,-0.202006245
48113009201,6060.570737,4843,-0.200900343
48439111202,4321.497923,3461,-0.199120291
48121020900,3112.211693,2494,-0.198640631
48439121702,3727.465928,3023,-0.188993258
48113020200,3213.407253,2615,-0.18622204
48439123500,6633.000021,5412,-0.184079605
48113019210,4651.649613,3851,-0.172121651
48439110301,5093.747316,4231,-0.169373795
48121020202,2133.959771,1775,-0.168212998
48113000601,5443.23697,4559,-0.1624469
48113019700,2555.898931,2143,-0.161547441
48439122100,7255.136124,6166,-0.150119323
48439122900,6410.000003,5457,-0.148673947
48121020505,3235.108979,2759,-0.147169379
