GEOID,Geography,County,State,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,poverty_percent
48453000101,Census Tract 1.01, Travis County, Texas,3751,357,0.09517462
48453000102,Census Tract 1.02, Travis County, Texas,2492,126,0.050561798
48453000203,Census Tract 2.03, Travis County, Texas,1470,486,0.330612245
48453000204,Census Tract 2.04, Travis County, Texas,2927,584,0.199521695
48453000205,Census Tract 2.05, Travis County, Texas,3538,621,0.175522894
48453000206,Census Tract 2.06, Travis County, Texas,3233,356,0.110114445
48453000302,Census Tract 3.02, Travis County, Texas,5162,1367,0.264819837
48453000304,Census Tract 3.04, Travis County, Texas,3211,1016,0.316412333
48453000305,Census Tract 3.05, Travis County, Texas,3073,617,0.200780996
48453000306,Census Tract 3.06, Travis County, Texas,2777,432,0.155563558
48453000307,Census Tract 3.07, Travis County, Texas,1863,463,0.248523886
48453000401,Census Tract 4.01, Travis County, Texas,3051,822,0.269419862
48453000402,Census Tract 4.02, Travis County, Texas,2621,436,0.166348722
48453000500,Census Tract 5, Travis County, Texas,4547,1628,0.358038267
48453000601,Census Tract 6.01, Travis County, Texas,1007,814,0.808341609
48453000603,Census Tract 6.03, Travis County, Texas,7165,6124,0.854710398
48453000604,Census Tract 6.04, Travis County, Texas,4087,3221,0.788108637
48453000700,Census Tract 7, Travis County, Texas,1134,312,0.275132275
48453000801,Census Tract 8.01, Travis County, Texas,1596,260,0.162907268
48453000802,Census Tract 8.02, Travis County, Texas,3586,1680,0.468488567
48453000803,Census Tract 8.03, Travis County, Texas,2272,434,0.191021127
48453000804,Census Tract 8.04, Travis County, Texas,2410,925,0.383817427
48453000901,Census Tract 9.01, Travis County, Texas,1713,424,0.247518973
48453000902,Census Tract 9.02, Travis County, Texas,5264,1824,0.346504559
48453001000,Census Tract 10, Travis County, Texas,3529,794,0.224992916
48453001100,Census Tract 11, Travis County, Texas,4454,544,0.122137405
48453001200,Census Tract 12, Travis County, Texas,4394,447,0.101729631
48453001303,Census Tract 13.03, Travis County, Texas,2546,304,0.119402985
48453001304,Census Tract 13.04, Travis County, Texas,3764,384,0.102019129
48453001305,Census Tract 13.05, Travis County, Texas,5654,1365,0.241422002
48453001307,Census Tract 13.07, Travis County, Texas,3614,899,0.248754842
48453001308,Census Tract 13.08, Travis County, Texas,2805,603,0.214973262
48453001401,Census Tract 14.01, Travis County, Texas,2834,352,0.124206069
48453001402,Census Tract 14.02, Travis County, Texas,2713,468,0.172502764
48453001403,Census Tract 14.03, Travis County, Texas,1317,190,0.144267274
48453001501,Census Tract 15.01, Travis County, Texas,5102,206,0.040376323
48453001503,Census Tract 15.03, Travis County, Texas,4008,784,0.195608782
48453001504,Census Tract 15.04, Travis County, Texas,4751,428,0.090086298
48453001505,Census Tract 15.05, Travis County, Texas,4208,688,0.163498099
48453001602,Census Tract 16.02, Travis County, Texas,3153,321,0.101807802
48453001603,Census Tract 16.03, Travis County, Texas,4708,134,0.028462192
48453001604,Census Tract 16.04, Travis County, Texas,3770,171,0.04535809
48453001605,Census Tract 16.05, Travis County, Texas,3567,389,0.109055228
48453001606,Census Tract 16.06, Travis County, Texas,320,210,0.65625
48453001705,Census Tract 17.05, Travis County, Texas,4630,134,0.028941685
48453001706,Census Tract 17.06, Travis County, Texas,3512,204,0.05808656
48453001707,Census Tract 17.07, Travis County, Texas,4735,358,0.075607181
48453001712,Census Tract 17.12, Travis County, Texas,4413,720,0.163154317
48453001713,Census Tract 17.13, Travis County, Texas,4174,505,0.120987063
48453001714,Census Tract 17.14, Travis County, Texas,12191,859,0.070461816
48453001716,Census Tract 17.16, Travis County, Texas,5090,246,0.048330059
48453001718,Census Tract 17.18, Travis County, Texas,5448,481,0.08828928
48453001719,Census Tract 17.19, Travis County, Texas,3898,128,0.032837352
48453001722,Census Tract 17.22, Travis County, Texas,3881,224,0.057717083
48453001728,Census Tract 17.28, Travis County, Texas,7124,655,0.091942729
48453001729,Census Tract 17.29, Travis County, Texas,4728,363,0.07677665
48453001733,Census Tract 17.33, Travis County, Texas,3611,218,0.060371088
48453001737,Census Tract 17.37, Travis County, Texas,10457,271,0.025915655
48453001738,Census Tract 17.38, Travis County, Texas,6669,311,0.046633678
48453001740,Census Tract 17.40, Travis County, Texas,4475,408,0.091173184
48453001741,Census Tract 17.41, Travis County, Texas,3793,311,0.081993145
48453001742,Census Tract 17.42, Travis County, Texas,6310,892,0.141362916
48453001745,Census Tract 17.45, Travis County, Texas,2492,234,0.093900482
48453001746,Census Tract 17.46, Travis County, Texas,3636,297,0.081683168
48453001747,Census Tract 17.47, Travis County, Texas,5477,1048,0.191345627
48453001748,Census Tract 17.48, Travis County, Texas,6063,579,0.095497279
48453001749,Census Tract 17.49, Travis County, Texas,5426,539,0.099336528
48453001750,Census Tract 17.50, Travis County, Texas,4805,735,0.152965661
48453001751,Census Tract 17.51, Travis County, Texas,1961,54,0.027536971
48453001752,Census Tract 17.52, Travis County, Texas,4004,1227,0.306443556
